username,post_number,post_url,likes,hashtags,comments
kayla_itsines,post_1,https://www.instagram.com/kayla_itsines/p/C6I1MDsstUt/,"8,397","#SweatWithKayla, #SweatApp, #PersonalTrainer, #TrainingAdvice","alexia_clark: Absolutely! Rest is an essential part of self-care and overall well-being. Just like we nourish our bodies with food, we need to nourish them with rest and recovery. It's all about balance and listening to what your body needs. Thank you for sharing this important reminder to prioritize self-care and treat our bodies with love and respect! 💖; silje.alice: Hear hear!!❤️; itsmatryoshka: This is so true! Gotta remind myself of this daily!; zoii.sydney: 💯 🙌🙌; mary.huntress.pwr: This 🙌 Rest should be prioritized as a main part of our fitness journey; annierott: Needed this today 👏; sukritipriya_: So true 🙌; frau_dr_heinz: True words... I am sick at the moment but I don't want to lose my progress in sweat app 🙈; kmgomezco: I have 💯 this mindset since I am little girl.; tamdunnington: Love this Kayla… so well said !!; nutsyfoodie: 🙌🏽💯; chelle.fit.mama: ❤️❤️❤️; lorenzia_heryxlim: 👏👏👏👏; grace55777: ❤️; sahmarketer: Yes queen 👑"
kayla_itsines,post_2,https://www.instagram.com/kayla_itsines/p/C8ZC_KQNG86/,"6,294","#SweatDaily, #Podcast, #StoryGlass, #HealthyHabits, #4",_joanna70: Agree 👏 can I add keep hydrated 💦; silje.alice: 🙌🙌🙌; massy.arias: Charging your phone in a different room is so smart. I need to try that!; powerlinkfitness: Great tips Kayla🙌🏽; jetsetluxe: Number 1 I agree but 🤣🤣😫🙏🏼; lyndsays_adventures: #4 doesn’t have kids- but the rest I can get around 😂🙌🙌; theactivebod: LOVE THESE 👏; amandaelenaa: @kayla_itsines I need to do the first one 😂; hannahgoldberg___: I need to do aim for 7 hrs of sleep 💤🥵; savannahrayner_aligned: Loving the podcasts this week! Really good tips ✨; lena__wro: Yes 🙌; partyofforbes: Try to get the fresh air before 11 AM; social.paridhi: Gonna try most of this week!! 💗✨; __jazznico__: Thanks! I needed the reminder ❤️; indianfitmom: Love all of these! 1 is a game changer
kayla_itsines,post_3,https://www.instagram.com/kayla_itsines/p/CueWzBHOKxV/,"13,805",,"jagz_1990: Sooooo pretty 🔥; mo.inshape: It’s definitely important to know the difference and to use a certified trainer not just follow random advice from social media. No need to knock fitness influencers though. They do add value PLUS being a fitness influencer can also be their life and job just like being a PT is yours.; valdalfit: Thank. You. For. This. 🙌🙌🙌; tin1284tin: Ju❤️; joelynnnb: 👏🏽❤️‍🔥; fitnessnfinancegroup: Need more people like you🙏🏼; tamdunnington: So well said Kayla ❤️❤️❤️; elistanepgen: Yes!!! Thank you for pu this out there!; fgbeautician: 👏; akhumyim.akhumyim: 💋💋💋💋💋💋; netspirations: That's why you stand out!!!🙌❤️😍; maren.naue: Well said! 🙌🔥; highcountryfitness: This may be my favourite post you have ever made! Thank you, this is how myself and my team feel! 😃👍💪👏👊; hotel_parsa_kelardasht: Nice l love you; yassyfrankfitness: I LOVE this so much!!! Thank you the being the BEST role model in our Fitness Industry🤍⚡️ you inspire me everyday and I appreciate this post so much more then you no! Such an important message to spread! Knowledge is power 💛⚡️"
kayla_itsines,post_4,https://www.instagram.com/kayla_itsines/p/Cx5uXa8u4xw/,"54,548",,"tracycampbell01: Totally relate. Just one more. 😂; shnatkumar.ujjanage: 👏; lior_rose: His veneers are terrible! Shame on you both for what you did to his ex and your ex friend. What goes around comes around; naloweeee: im calling it now ur gonna have another one by christmas 2024; cedavis83: I felt that way after my second for quite a while, like if my husband had wanted a third I may have been crazy enough to do it (we had agreed we were done after two ahead of time). Fast forward to when she turned 1, and that feeling had passed and I was able to more clearly see why two was enough for me (mental health wise). The baby is 4.5 now and I'm so glad we're done, I love moving into this next phase of parenting, babies and toddlers are a special kind of exhausting. HOWEVER, every family is different, and you and Jae will make the best decision for your family.; t.morgs: “Jax is annoying me” is the weirdest way to start a paragraph about loving your baby; jaydasmomma: I worked out with you during my pregnancy! 😂 My son is close to your sons age & it’s the best!!!! Thank you for helping me to stay fit and mentally stable throughout my pregnancy! 😍; ktzuba: You take the next one Jae 😂; emsaab1: Come onnnnn, just 1 more! 😍🤍; danelle__mentz: Babies are adorable yes, but remember they grow up, you should want ALL stages and ages, toddlers, tweens, teenagers… the works. ❤️; megan_basdeo: How did you treat his reflux 😪 we are an ten months and still battling the journey 😥; francy.araujo.391: 😂❤️🙌🔥🔥🔥; holisticnursenancy_: Starstruck! 🥰; nikkisiho: 🥹"
kayla_itsines,post_5,https://www.instagram.com/kayla_itsines/p/CvhWGpuMvtL/,"27,683",,mary.huntress.pwr: The cutest! 💖💖💖; emmakateoconnor: Cuties; aushealth_shop: It's evident that your commitment to your health not only benefits you but also enhances the quality of time you spend with your little ones. Keep up the fantastic work!; tamdunnington: Love your motivation Kayla ❤️; indianfitmom: That is such a good motivation; masudrana198797: Is it your Baby?; alacquakylie: Awww so adorable 💙☀️; gosweatpink: 😍😍😍😍; concettauseli: Dolcezza infinita ❤️🙌; halynachekirko: Bellissimo foto; williamkelly856: nice🥰🥰; amir.tehran1357: 💙; athena.fine.jewellery: Happiness; rebecca_abrams_ct: 🥰🥰🥰
kayla_itsines,post_6,https://www.instagram.com/kayla_itsines/p/Cz6cZ9iSkNS/,"11,934","#dubai, #sweatcommunity, #sweatwithkayla","shalu001: So excited to see you❤️; becccccagrace: Third pic, Jae in the background 😄🤣; fizzoism: OMG welcome … I have been hoping for this and unfortunately can’t join this. I hope this won’t be the only event by you ❤️❤️❤️; kara_fantasia: One of my best work trips ever with you!!! ❤️; rach90h: @fitnessmadmamma; brittneyraetoday: 😍😍😍; sweat: Live bootcamps finally left the work chat 😍; trishmurphy84: Why always Dubai?; mich_w_gc: @claudia.b.stephens; emmmajaane96: Not sure if you’re hiding a bump in the second pic or if it’s your bag 🤔😂🫢; llanibelle: She’s arrrrrrived; elysia_harrington: Oh such a lovely weather 🔥; lubna_ismail: @daliafaris u hv 2 go 🥹🥹; iveettte: Where are her sunglasses from? 😅; theannisohwoman: Yess🔥🔥🔥"
kayla_itsines,post_7,https://www.instagram.com/kayla_itsines/p/CzwMql0sGx6/,"13,167",,"mubinaa88: @nimmi_rouf; ziemczi_wrc: @sandixwrc ♡; carlos_nathangym: 👏; nourrising: @kinagee This is SO us! 🤣❤️; meyersroof: Memory unlocked 😭 She was the one pair of eyes in a crowded room, at the most random moment, we read each others mind. She was also my sister. She died 3 months ago. 6 months ago she wasn’t even sick 🖤; bri.aka.mulan: @lvara2000 @lillyvara 😂🙌; jacquelinedavis__: @cmarie_7 @pandaleighh; audib00: @jennaleman_; vineedhamanayilparambil: @gaya3_adapa; ___beckkkk___: @emilybreach94 or gifs; michellethomasorourke14: @beckyd3003; dellaraveen: @dalekirkpatrick6; hollykimberley: @esther_oconnor 🥰; callielouise_x: @xxlucyjane88xx 🤣🤣"
kayla_itsines,post_8,https://www.instagram.com/kayla_itsines/p/C5NRkW4Ohfs/,"77,013",,"danistevens: So beautiful 🫶🏼 just keep posting them 😂😂😂; katiemmartin_: The best day ever ❤❤❤❤; taylor_rohwedder: Who designed your dress? Beautiful!; sarahkolak_: Nice big digital frame that just plays them on a slideshow loop; erin_ohagan_: Collage of framed pics on your living room wall; lust__minerals: What a beautiful day 🤍😂 absolutely stunning 🩵; frosted_cakesanddesserts: You need to get your grandparents’ photo framed that’s for sure and make a copy framed for everyone in your family because that’s a beautiful photo to cherish in all of your homes; elinbandmannphotography: You have to have an album made!! That perfectly tells the story of the day. That you and your children can enjoy forever! Also where is your mums dress from? Its so gorgeous on her! <3; eliot_204: Get your most favourites framed and make a book to go trough then; albins22: A digital frame so you can see and display your favorites over and over again 😍; oti_breuil: Print them and mix them on a wall! It’s so cool to see them everyday; mrsibrown: Make a book!! For a long time my daughter’s favorite bedtime story was my wedding photo album; katchy90: We made up a photo book for my husbands mum for Mother’s Day. We have started to make some for all the other family members. I just picked out what I thought would be their favourites so on my husbands side I made it mostly of the boys, those family members from reception and ceremony etc. we just put a personalised note in the cover as well.; onion012: Here to also say, digital photo frame! ❤️; jeorgia.stanton: You should definitely get a digital photo frame so that they play through as a slide show and put it somewhere special in your house ❤ we have one and it’s amazing @kayla_itsines"
kayla_itsines,post_9,https://www.instagram.com/kayla_itsines/p/CxSchBDSJnN/,"10,622",,"maleneje: @amsutro kører også tit de her, kan også anbefales😊; starner2.0: @melaniestrout swipe right for push ups from knees; omg_tennis_siblings: 🔥; travelntacos: @heybellla; ctx.jpeg: Just finished this 🥵👏🏼; khadij.86: 👍👍; jordansartfulwellness: Exactly what I need to recover from 🧠injury!; jakfog: @tayler.collins1 2nd; empoweredbyangela: Your Post-Pregnancy and Low-Impact program sounds like a great way to ease back into fitness after having a baby. Keep up the great work! 🌟; noe_tevez11: 😍❤️; ziopilu: ❤️; iamselinedairo: Please how many times make a rep?; rinila1234: Love it. Thanks; sabby.92: It is time to do this 🔥 motivated 😍; energiefitnessborough: 🙌"
kayla_itsines,post_10,https://www.instagram.com/kayla_itsines/p/CxDRI0wsVh7/,"43,969",,"shnatkumar.ujjanage: Shnatkumar. Ujjanage 9019144064youmyhlahlanpa; beaty_jey: Wonderful and you family
Bravo your respect family 🔥🔥🔥🔥🔥👏👏👏👏😍😍😍😍; daniantonellos: A grandparent’s love is something else ❤️; swahiliforkids: ❤️; lemonanginger: i spot koulourakia; dimitriou_katie: Τέλειοι οι παππούδες σου Καϊλα φαινονται πολυ καλοι ανθρωποι 😊😊 , κλασικοί παππούς και γιαγιά από Ελλάδα , με τον ελληνικό καφέ και τα κουλουράκια 🤍🤍 δωστους πολλούς χαιρετισμούς από την πατρίδα , χαιρόμαστε να τους βλέπουμε στα στορι σου 😘😘😘; gigic888: ❤️❤️❤️❤️; 3lawei_94: 🙌❤️; asfitnessproject: I'm so grateful to have my yiayia and papou around for my boys. They are the best. Still always leaving their place with a box full of fruit or nuts 😁; polydede: Keep them in your heart deeply ♥️ Once you will need it🇬🇷; ilona_motowidlo: ❤️; evangeliamom: Do you speak any Greek???🔥👏❤️; jojoali2004: God bless them; aysegulalisan: 🧿; sera_fina_recs: Will papou share his biscuits please? 😂"
